ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXAAAGASW-26JUN22-3.936,KXAAAGASW-26JUN22,Economics,no,17,17,0,96.0,1632,0,68,0.041666666666666664,1782086400,1782134444,48044,no,1782134444,False,CONTAMINATED
KXAAAGASD-26JUN23-3.9200,KXAAAGASD-26JUN23,Economics,yes,197,197,0,95.0,18715,0,985,0.05263157894736842,1782180000,1782219784,39784,yes,1782219784,False,CONTAMINATED
KXAAAGASD-26JUN26-3.910,KXAAAGASD-26JUN26,Economics,no,338,338,0,95.0,32110,0,1690,0.05263157894736842,1782435600,1782480412,44812,no,1782480412,False,CONTAMINATED
KXAAAGASD-26JUN27-3.885,KXAAAGASD-26JUN27,Economics,no,520,520,0,96.0,49920,0,2080,0.041666666666666664,1782514800,1782565033,50233,no,1782565033,False,CONTAMINATED
KXAAAGASD-26JUN27-3.890,KXAAAGASD-26JUN27,Economics,no,52,52,0,98.0,5096,0,104,0.02040816326530612,1782529200,1782565033,35833,no,1782565033,False,CONTAMINATED
KXAAAGASD-26JUN28-3.875,KXAAAGASD-26JUN28,Economics,no,118,118,0,98.0,11564,0,236,0.02040816326530612,1782608400,1782664684,56284,no,1782664684,False,CONTAMINATED
KXAAAGASD-26JUN29-3.850,KXAAAGASD-26JUN29,Economics,yes,89,89,0,96.0,8544,0,356,0.041666666666666664,1782691200,1782738742,47542,yes,1782738742,True,CONTAMINATED
KXMUSKNW-26JUN30-T1000,KXMUSKNW-26JUN30,Economics,yes,502,502,0,95.0,47690,0,2510,0.05263157894736842,1782846000,1782863401,17401,yes,1782863401,False,CONTAMINATED
KXMUSKNW-26JUN30-T950,KXMUSKNW-26JUN30,Economics,yes,13,13,0,98.0,1274,0,26,0.02040816326530612,1782846000,1782863401,17401,yes,1782863401,False,CONTAMINATED
KXMUSKNW-26JUN30-T1100,KXMUSKNW-26JUN30,Economics,no,450,450,0,96.0,43200,0,1800,0.041666666666666664,1782849600,1782863401,13801,no,1782863401,False,CONTAMINATED
KXMUSKNW-26JUN30-T1200,KXMUSKNW-26JUN30,Economics,no,58,58,0,97.0,5626,0,174,0.030927835051546393,1782849600,1782863401,13801,no,1782863401,False,CONTAMINATED
KXMAJORPROTEST-26JUN,KXMAJORPROTEST-26JUN,Economics,no,23,23,0,95.0,2185,0,115,0.05263157894736842,1782874800,1782916483,41683,no,1782916483,False,CONTAMINATED
KXCREDITC-26JUL01-T4.25,KXCREDITC-26JUL01,Economics,no,90,90,0,98.0,8820,0,180,0.02040816326530612,1782903600,1782918003,14403,no,1782918003,False,CONTAMINATED
KXPAYROLLS-26JUN-T30000,KXPAYROLLS-26JUN,Economics,yes,62,62,0,91.0,5642,9,549,0.09730591988656505,1782990000,1782998874,8874,yes,1782998874,False,CONTAMINATED
KXAAAGASD-26JUL03-3.830,KXAAAGASD-26JUL03,Economics,no,151,151,0,92.0,13892,0,1208,0.08695652173913043,1783044000,1783082734,38734,no,1783082734,False,CONTAMINATED
