ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
HIGHNY-23JAN18-T53,HIGHNY-23JAN18,Climate and Weather,no,21,21,0,90.0,1890,0,210,0.1111111111111111,1674052474,1674155400,102926,no
HIGHNY-23JAN20-B50.5,HIGHNY-23JAN20,Climate and Weather,no,339,339,0,91.0,30849,0,3051,0.0989010989010989,1674228929,1674326580,97651,no
HIGHNY-23JAN20-T51,HIGHNY-23JAN20,Climate and Weather,no,125,125,0,95.0,11875,0,625,0.05263157894736842,1674228025,1674326580,98555,no
HIGHNY-23JAN21-B40.5,HIGHNY-23JAN21,Climate and Weather,no,304,304,0,97.0,29488,0,912,0.030927835051546393,1674325001,1674410821,85820,no
HIGHNY-23JAN22-B41.5,HIGHNY-23JAN22,Climate and Weather,no,81,81,0,93.0,7533,0,-7533,-1.0,1674419420,1674529080,109660,yes
HIGHNY-23JAN24-T45,HIGHNY-23JAN24,Climate and Weather,no,18,18,0,90.0,1620,0,-1620,-1.0,1674570126,1674671700,101574,yes
HIGHNY-23JAN25-T45,HIGHNY-23JAN25,Climate and Weather,no,100,100,0,91.0,9100,0,900,0.0989010989010989,1674659359,1674756600,97241,no
HIGHNY-23JAN27-B40.5,HIGHNY-23JAN27,Climate and Weather,no,29,29,0,93.0,2697,0,203,0.07526881720430108,1674839170,1674928861,89691,no
HIGHNY-23JAN27-B42.5,HIGHNY-23JAN27,Climate and Weather,yes,225,225,0,90.0,20250,0,-20250,-1.0,1674851420,1674928861,77441,no
HIGHNY-23JAN27-B44.5,HIGHNY-23JAN27,Climate and Weather,no,200,200,0,90.0,18000,0,-18000,-1.0,1674851622,1674928861,77239,yes
HIGHNY-23JAN30-B54.5,HIGHNY-23JAN30,Climate and Weather,no,37,37,0,92.0,3404,0,-3404,-1.0,1675087350,1675188720,101370,yes
