ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXTRUMPMEET-NOV25-VPUT,KXTRUMPMEET-NOV25,Politics,no,27,27,0,97.0,2619,0,81,0.030927835051546393,1764554400,1764636844,82444,no,1764636844,False,CLEAN
KXPCTVOTEMAM-26-ZMAM-T50,KXPCTVOTEMAM-26,Elections,yes,2,2,0,98.0,196,0,4,0.02040816326530612,1764696761,1764710817,14056,yes,1764710817,False,CLEAN
KXMAMDANINYC-25NOV04,KXMAMDANINYC-25NOV04,Elections,no,11,11,0,98.0,1078,0,22,0.02040816326530612,1764702568,1764710729,8161,no,1764710729,False,CLEAN
KXTOPARTIST-25-TS,KXTOPARTIST-25,Entertainment,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1764753238,1764776922,23684,no,1764776922,False,CLEAN
KXTOPARTIST-25-BB,KXTOPARTIST-25,Entertainment,yes,510,510,0,98.0,49980,0,1020,0.02040816326530612,1764760356,1764776922,16566,yes,1764776922,False,CLEAN
KXHIGHLAX-25DEC03-T70,KXHIGHLAX-25DEC03,Climate and Weather,no,42,42,0,93.0,3906,0,294,0.07526881720430108,1764817200,1764851514,34314,no,1764851514,False,CLEAN
KXHIGHNY-25DEC05-B34.5,KXHIGHNY-25DEC05,Climate and Weather,no,55,55,0,94.0,5170,0,330,0.06382978723404255,1764979200,1765026093,46893,no,1765026093,False,CLEAN
KXHIGHCHI-25DEC05-B28.5,KXHIGHCHI-25DEC05,Climate and Weather,yes,466,466,0,94.0,43804,0,-43804,-1.0,1764990000,1765042202,52202,no,1765042202,False,CLEAN
KXHIGHCHI-25DEC06-B34.5,KXHIGHCHI-25DEC06,Climate and Weather,no,224,224,0,90.0,20160,0,2240,0.1111111111111111,1765076400,1765112514,36114,no,1765112514,False,CLEAN
KXHIGHCHI-25DEC09-B41.5,KXHIGHCHI-25DEC09,Climate and Weather,no,90,90,0,97.0,8730,0,270,0.030927835051546393,1765335600,1765371710,36110,no,1765371710,False,CLEAN
KXHIGHNY-25DEC09-B36.5,KXHIGHNY-25DEC09,Climate and Weather,no,361,361,0,91.0,32851,0,3249,0.0989010989010989,1765335600,1765371697,36097,no,1765371697,False,CLEAN
KXHIGHPHIL-25DEC09-B38.5,KXHIGHPHIL-25DEC09,Climate and Weather,no,65,65,0,98.0,6370,0,130,0.02040816326530612,1765335600,1765368419,32819,no,1765368419,False,CLEAN
KXFEDCOMBO-25DEC-0-T0,KXFEDCOMBO-25DEC,Economics,no,28,28,0,96.0,2688,0,112,0.041666666666666664,1765372523,1765395408,22885,no,1765395408,False,CLEAN
KXFEDDECISION-25DEC-H0,KXFEDDECISION-25DEC,Economics,no,213,213,0,96.0,20448,15,837,0.0409330985915493,1765373824,1765393731,19907,no,1765393731,False,CLEAN
KXFEDDECISION-25DEC-C25,KXFEDDECISION-25DEC,Economics,yes,213,213,0,96.0,20448,15,837,0.0409330985915493,1765374107,1765393731,19624,yes,1765393731,False,CLEAN
KXFEDCOMBO-25DEC-25C-0,KXFEDCOMBO-25DEC,Economics,no,526,526,0,95.0,49970,0,2630,0.05263157894736842,1765374687,1765395417,20730,no,1765395417,False,CLEAN
FED-25DEC-T3.75,FED-25DEC,Economics,no,47,47,0,96.0,4512,4,184,0.040780141843971635,1765379838,1765393566,13728,no,1765393566,False,CLEAN
KXFEDCOMBO-25DEC-25C-T0,KXFEDCOMBO-25DEC,Economics,yes,526,526,0,95.0,49970,0,2630,0.05263157894736842,1765381022,1765395433,14411,yes,1765395433,False,CLEAN
KXTRUMPFOOTBALL-26JAN012,KXTRUMPFOOTBALL-26JAN012,Politics,yes,526,526,0,95.0,49970,0,2630,0.05263157894736842,1765642503,1765659759,17256,yes,1765659759,False,CLEAN
KXHIGHCHI-25DEC15-T23,KXHIGHCHI-25DEC15,Climate and Weather,yes,26,26,0,96.0,2496,0,104,0.041666666666666664,1765857600,1765890102,32502,yes,1765890102,False,CLEAN
KXEMPLOYMENTCOMBO-25NOV-4.6-50K,KXEMPLOYMENTCOMBO-25NOV,Economics,no,38,38,0,94.0,3572,0,228,0.06382978723404255,1765886253,1765901892,15639,no,1765901892,False,CLEAN
KXU3-25NOV-T4.3,KXU3-25NOV,Economics,yes,51,51,0,90.0,4590,9,501,0.10915032679738562,1765891724,1765900332,8608,yes,1765900332,False,CLEAN
KXHIGHLAX-25DEC17-B72.5,KXHIGHLAX-25DEC17,Climate and Weather,no,520,520,0,96.0,49920,0,2080,0.041666666666666664,1766026447,1766061151,34704,no,1766061151,False,CLEAN
KXHIGHLAX-25DEC17-B74.5,KXHIGHLAX-25DEC17,Climate and Weather,no,512,512,0,95.0,48640,0,-48640,-1.0,1766030400,1766061151,30751,yes,1766061151,False,CLEAN
KXHIGHLAX-25DEC17-T77,KXHIGHLAX-25DEC17,Climate and Weather,no,510,510,0,98.0,49980,0,1020,0.02040816326530612,1766034000,1766061151,27151,no,1766061151,False,CLEAN
KXHIGHLAX-25DEC17-B76.5,KXHIGHLAX-25DEC17,Climate and Weather,no,5,5,0,95.0,475,0,25,0.05263157894736842,1766037600,1766061151,23551,no,1766061151,False,CLEAN
KXCPI-25NOV-T0.3,KXCPI-25NOV,Economics,no,50,50,0,96.0,4800,4,196,0.04083333333333333,1766052027,1766085801,33774,no,1766085801,False,CLEAN
KXCPI-25NOV-T0.1,KXCPI-25NOV,Economics,yes,20,20,0,96.0,1920,2,78,0.040625,1766055930,1766085801,29871,yes,1766085801,False,CLEAN
KXCPIYOY-25NOV-T2.8,KXCPIYOY-25NOV,Economics,yes,2,2,0,93.0,186,1,-187,-1.0053763440860215,1766060607,1766072041,11434,no,1766072041,False,CLEAN
