ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result
KXAAAGASD-26JUL07-3.795,KXAAAGASD-26JUL07,Economics,no,285,285,0,90.0,25650,0,2850,0.1111111111111111,1783382400,1783425334,42934,no
KXAAAGASD-26JUN14-4.065,KXAAAGASD-26JUN14,Economics,yes,361,361,0,95.0,34295,0,1805,0.05263157894736842,1781406000,1781445093,39093,yes
KXAAAGASD-26JUN14-4.085,KXAAAGASD-26JUN14,Economics,no,181,181,0,98.0,17738,0,362,0.02040816326530612,1781398800,1781445093,46293,no
KXAAAGASD-26JUN29-3.850,KXAAAGASD-26JUN29,Economics,yes,89,89,0,96.0,8544,0,356,0.041666666666666664,1782691200,1782738742,47542,yes
KXAAAGASD-26MAY26-4.475,KXAAAGASD-26MAY26,Economics,yes,3,3,0,95.0,285,0,15,0.05263157894736842,1779760800,1779800311,39511,yes
KXAAAGASM-26MAY31-4.32,KXAAAGASM-26MAY31,Economics,yes,92,92,0,93.0,8556,11,633,0.07398316970546985,1780196400,1780243550,47150,yes
KXAAAGASW-26JUN22-3.926,KXAAAGASW-26JUN22,Economics,yes,26,26,0,91.0,2366,0,234,0.0989010989010989,1782086400,1782134444,48044,yes
KXAPRPOTUS-26JUN26-41.2,KXAPRPOTUS-26JUN26,Politics,no,7,7,0,98.0,686,0,14,0.02040816326530612,1782475200,1782489838,14638,no
KXB200Q-26JUN30-5.670,KXB200Q-26JUN30,Science and Technology,yes,9,9,0,92.0,828,0,72,0.08695652173913043,1782129600,1782142184,12584,yes
KXGOVOKNOMR-26-CKEA,KXGOVOKNOMR-26,Elections,no,352,352,0,91.0,32032,0,3168,0.0989010989010989,1781654400,1781663433,9033,no
KXHIGHTBOS-26MAY24-B57.5,KXHIGHTBOS-26MAY24,Climate and Weather,no,8,8,0,95.0,760,0,40,0.05263157894736842,1779667200,1779708761,41561,no
KXMAKERFIELDBY-27JAN01-LAB,KXMAKERFIELDBY-27JAN01,Elections,yes,71,71,0,93.0,6603,0,497,0.07526881720430108,1781820000,1781839738,19738,yes
KXNBAATTEND-26KNICKS-SAB,KXNBAATTEND-26KNICKS,Politics,no,4,4,0,97.0,388,0,12,0.030927835051546393,1781496000,1781502733,6733,no
